,city,admin_name,lat,lng,name,height,weight,position
0,"Dallas, TX",TX,32.7936,-96.7662,"Cherry, Jarell",6-3,231,DL
1,"Houston, TX",TX,29.7869,-95.3905,"Chaisson, K'Lavon",6-5,230,LB
2,"Houston, TX",TX,29.7869,-95.3905,"Delpit, Grant",6-3,191,DB
3,"Houston, TX",TX,29.7869,-95.3905,"Monroe, Eric",6-0,185,DB
4,"Houston, TX",TX,29.7869,-95.3905,"Smith, Carlton",6-3,227,LB
5,"Houston, TX",TX,29.7869,-95.3905,"Williams, Josh",5-10,192,RB
6,"Boston, MA",MA,42.3188,-71.0846,"Traore, Badara",6-6,310,OL
7,"Phoenix, AZ",AZ,33.5722,-112.0891,"Culp, Connor",5-10,195,K
8,"Salt Lake City, UT",UT,40.7774,-111.93,"Fonua, Soni",6-4,264,LB
9,"Salt Lake City, UT",UT,40.7774,-111.93,"Ika, Siaki",6-4,347,DL
10,"Nashville, TN",TN,36.1715,-86.7843,"Phillips, Jacob",6-3,235,LB
11,"Memphis, TN",TN,35.1046,-89.9773,"Hampton Jr., Maurice",6-0,214,DB
12,"New Orleans, LA",LA,30.0687,-89.9288,"Anthony, Andre",6-4,219,LB
13,"New Orleans, LA",LA,30.0687,-89.9288,"Comeaux, Cade",6-0,178,DB
14,"New Orleans, LA",LA,30.0687,-89.9288,"Faust, Hunter",6-2,217,LB
15,"New Orleans, LA",LA,30.0687,-89.9288,"Fournette, Lanard",5-10,185,RB
16,"New Orleans, LA",LA,30.0687,-89.9288,"McMath, Racey",6-3,213,WR
17,"New Orleans, LA",LA,30.0687,-89.9288,"Pettigrew, Jamal",6-6,218,TE
18,"Honolulu, HI",HI,21.3294,-157.846,"Fehoko, Breiden",6-3,293,DL
19,"Baton Rouge, LA",LA,30.4419,-91.131,"Aucoin, Alex",6-0,165,WR
20,"Baton Rouge, LA",LA,30.4419,-91.131,"Clark, Damone",6-4,232,LB
21,"Baton Rouge, LA",LA,30.4419,-91.131,"Davis-Price, Tyrion",6-1,226,RB
22,"Baton Rouge, LA",LA,30.4419,-91.131,"Edwards-Helaire, Clyde",5-8,210,RB
23,"Baton Rouge, LA",LA,30.4419,-91.131,"Hubicz, Brandon",6-2,215,TE
24,"Baton Rouge, LA",LA,30.4419,-91.131,"McKernan, John Gordon",6-2,186,QB
25,"Baton Rouge, LA",LA,30.4419,-91.131,"Moffitt, Aaron",6-3,259,TE
26,"Baton Rouge, LA",LA,30.4419,-91.131,"Small, Jared",5-11,199,LB
27,"Baton Rouge, LA",LA,30.4419,-91.131,"Stingley Jr., Derek",6-1,195,DB
28,"Baton Rouge, LA",LA,30.4419,-91.131,"Thomas, Kardell",6-3,329,OL
29,"Baton Rouge, LA",LA,30.4419,-91.131,"Williams, Michael",6-2,275,DL
30,"Oakland, CA",CA,37.7903,-122.2165,"Murray, Jabari",6-2,168,DB
31,"Jackson, MS",MS,32.3163,-90.2124,"Charles, Saahdiq",6-5,328,OL
32,"Mobile, AL",AL,30.6782,-88.1163,"Farrell Jr., Neil",6-4,294,DL
33,"Shreveport, LA",LA,32.4659,-93.7959,"Baskerville, Micah",6-2,215,LB
34,"Canton, OH",OH,40.8076,-81.3678,"Turner, Charles",6-4,245,OL
35,"Lafayette, LA",LA,30.2084,-92.0323,"Kately, Treven",5-10,184,DB
36,"Lafayette, LA",LA,30.2084,-92.0323,"Perry, Thomas",6-6,341,OL
37,"Lafayette, LA",LA,30.2084,-92.0323,"Shelvin, Tyler",6-2,380,DL
38,"Killeen, TX",TX,31.0755,-97.7297,"Smith, Michael",6-2,290,OL
39,"Killeen, TX",TX,31.0755,-97.7297,"Thornton, Ray",6-3,222,LB
40,"Murfreesboro, TN",TN,35.8493,-86.4117,"Stevens, JaCoby",6-2,214,DB
41,"Muskegon, MI",MI,43.2281,-86.2562,"Bradford, Anthony",6-7,355,OL
42,"Alexandria, VA",VA,38.8185,-77.0861,"King, Stephen",--,--,TE
43,"Port Arthur, TX",TX,29.8554,-93.9264,"Vincent Jr., Kary",5-10,175,DB
44,"Lake Charles, LA",LA,30.2022,-93.2141,"Von Rosenberg, Zach",6-5,250,P
45,"Metairie, LA",LA,29.9976,-90.1781,"Brunet, Colby",5-11,176,WR
46,"Metairie, LA",LA,29.9976,-90.1781,"Chase, Ja'Marr",6-1,203,WR
47,"Metairie, LA",LA,29.9976,-90.1781,"Fulton, Kristian",6-0,178,DB
48,"Houma, LA",LA,29.5799,-90.7058,"Moore, Derian",6-0,197,DB
